0	0	0	0
1000	999	500499	257367
2000	1999	2000999	994866
3000	2999	4501499	2248797
4000	3999	8001999	4003830
5000	4999	12502499	6177026
6000	5999	18002999	9054393
7000	6999	24503499	12442790
8000	7999	32003999	15950959
9000	8999	40504499	20002505
10000	9999	50004999	25184214
11000	10999	60505499	30034805
12000	11999	72005999	36349190
13000	12999	84506499	42366098
14000	13999	98006999	48900139
15000	14999	112507499	56192365
16000	15999	128007999	63836156
17000	16999	144508499	72571080
18000	17999	162008999	80369029
19000	18999	180509499	90224077
20000	19999	200009999	99193202
21000	20999	220510499	110468284
22000	21999	242010999	120899663
23000	22999	264511499	132269677
24000	23999	288011999	143601922
25000	24999	312512499	155390177
26000	25999	338012999	169137699
27000	26999	364513499	182623738
28000	27999	392013999	197268936
29000	28999	420514499	210943406
30000	29999	450014999	224715090
31000	30999	480515499	239516826
32000	31999	512015999	255938448
33000	32999	544516499	270867249
34000	33999	578016999	289763285
35000	34999	612517499	307109228
36000	35999	648017999	326133914
37000	36999	684518499	343299316
38000	37999	722018999	361778478
39000	38999	760519499	380553967
40000	39999	800019999	400314461
